City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Castro,BR,-24.7911,-50.0119,72.64,51,90,3.98
103,Atuona,PF,-9.8,-139.0333,79.18,77,16,19.22
104,Port Elizabeth,ZA,-33.918,25.5701,71.1,88,90,4.61
105,Umm Lajj,SA,25.0213,37.2685,76.32,45,100,1.74
106,Hasaki,JP,35.7333,140.8333,46.8,51,49,18.57
107,Taltal,CL,-25.4,-70.4833,64.6,73,27,6.2
108,Taonan,CN,45.3333,122.7833,7.65,82,15,9.55
109,Provideniya,RU,64.3833,-173.3,-7.49,64,0,4.47
110,Lewiston,US,44.1003,-70.2148,42.22,47,1,9.22
111,Cayenne,GF,4.9333,-52.3333,76.08,92,75,1.99
112,Tura,IN,25.5198,90.2201,56.12,76,0,3.8
113,Cravo Norte,CO,6.3017,-70.2041,88.05,45,95,9.22
114,Iracoubo,GF,5.4802,-53.2011,77.09,90,100,11.88
115,Ancud,CL,-41.8697,-73.8203,60.42,65,32,10.83
116,Mubi,NG,10.2676,13.2644,72.0,25,62,3.13
117,Ambilobe,MG,-13.2,49.05,73.56,78,8,3.87
118,Saint-Philippe,RE,-21.3585,55.7679,78.39,76,88,11.45
119,Narsaq,GL,60.9167,-46.05,19.62,80,3,4.38
120,Beringovskiy,RU,63.05,179.3167,-19.01,99,100,13.31
121,Faanui,PF,-16.4833,-151.75,80.71,73,51,10.78
122,Saint George,US,37.1041,-113.5841,61.27,37,1,3.0
123,Hearst,CA,49.6835,-83.6665,34.05,83,100,11.9
124,Boyolangu,ID,-8.1181,111.8935,76.15,90,88,3.89
125,Airai,TL,-8.9266,125.4092,62.47,86,100,1.72
126,Zychlin,PL,52.244,19.6261,29.23,96,36,5.53
127,Kulhudhuffushi,MV,6.6221,73.07,81.81,75,94,7.07
128,Cidreira,BR,-30.1811,-50.2056,71.94,84,0,12.66
129,Cape Town,ZA,-33.9258,18.4232,66.34,80,96,1.99
130,Aklavik,CA,68.2191,-135.0107,-3.17,90,100,21.88
131,Tautira,PF,-17.7333,-149.15,84.22,79,85,11.27
132,Hovd,MN,48.0056,91.6419,8.87,59,100,5.14
133,Hobart,AU,-42.8794,147.3294,62.26,63,20,4.0
134,Codrington,AU,-38.2667,141.9667,80.55,25,61,17.02
135,Fergus Falls,US,46.283,-96.0776,37.47,79,1,3.0
136,Sur,OM,22.5667,59.5289,70.61,62,7,5.41
137,Vanderhoof,CA,54.0166,-124.0198,25.14,69,97,3.98
138,Diapaga,BF,12.0708,1.7889,78.62,14,98,6.67
139,Lebu,CL,-37.6167,-73.65,57.22,63,2,9.35
140,Kibala,TD,9.1104,18.3463,71.55,56,0,0.0
141,Liancheng,CN,24.0519,105.075,43.99,92,100,1.54
142,Beloha,MG,-25.1667,45.05,72.16,85,61,7.14
143,Karakol,KG,42.4907,78.3936,17.51,59,80,7.36
144,North Bend,US,43.4065,-124.2243,49.86,95,99,17.29
145,Brandon,US,27.9378,-82.2859,83.37,77,1,1.99
146,Otjiwarongo,NA,-20.4637,16.6477,67.71,74,97,7.23
147,Mahebourg,MU,-20.4081,57.7,75.49,88,75,17.27
148,Urumqi,CN,43.801,87.6005,4.15,85,0,2.24
149,Maniitsoq,GL,65.4167,-52.9,19.51,66,9,4.63
150,Nanga Eboko,CM,4.6833,12.3667,70.95,51,36,1.3
151,Marawi,PH,7.9986,124.2928,65.64,93,76,2.68
152,El Alto,PE,-4.2714,-81.2147,71.26,76,40,12.39
153,Ponta Do Sol,PT,32.6667,-17.1,66.0,77,53,1.7
154,Bredasdorp,ZA,-34.5322,20.0403,61.29,88,100,3.0
155,Tasiilaq,GL,65.6145,-37.6368,41.16,77,100,18.9
156,Rovnoye,RU,50.7765,46.0509,19.2,76,7,9.98
157,East London,ZA,-33.0153,27.9116,71.56,96,100,11.36
158,Pimenta Bueno,BR,-11.6725,-61.1936,77.05,96,100,4.43
159,Kaitangata,NZ,-46.2817,169.8464,60.93,63,71,2.93
160,Hami,CN,42.8,93.45,22.26,45,12,4.88
161,Homnabad,IN,17.7667,77.1333,64.22,68,60,6.78
162,Ixtapa,MX,20.7,-105.2,79.83,74,1,6.91
163,Hithadhoo,MV,-0.6,73.0833,80.98,78,100,10.78
164,Lazaro Cardenas,MX,17.9583,-102.2,83.75,67,3,7.54
165,Mitu,CO,1.1983,-70.1733,80.56,79,85,2.8
166,Hobyo,SO,5.3505,48.5268,78.35,80,47,20.85
167,Pisco,PE,-13.7,-76.2167,69.85,83,20,18.41
168,Saskylakh,RU,71.9167,114.0833,-44.95,100,70,3.09
169,Contai,IN,21.7786,87.7536,64.74,60,2,8.05
170,Waingapu,ID,-9.6567,120.2641,80.08,82,99,1.32
171,Chokurdakh,RU,70.6333,147.9167,-38.9,97,98,1.99
172,Komsomolskiy,UZ,40.4272,71.7189,35.02,55,29,6.91
173,Aykhal,RU,66.0,111.5,-48.59,100,98,6.17
174,Vila Velha,BR,-20.3297,-40.2925,80.55,87,0,14.0
175,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,90,18.41
176,Portland,US,45.5234,-122.6762,46.81,86,90,4.0
177,Terney,RU,45.0503,136.6092,14.22,64,10,27.6
178,Ranfurly,NZ,-45.1333,170.1,56.64,66,100,0.98
179,Kapaa,US,22.0752,-159.319,80.92,72,75,3.0
180,Bilibino,RU,68.0546,166.4372,-35.41,96,14,4.9
181,Souillac,MU,-20.5167,57.5167,75.58,88,75,17.27
182,Zalari,RU,53.5584,102.5065,12.85,96,100,2.37
183,Dikson,RU,73.5069,80.5464,-17.21,94,95,14.67
184,Progreso,MX,21.2833,-89.6667,86.11,73,31,14.79
185,Alice Springs,AU,-23.7,133.8833,80.15,28,25,10.36
